Date,Open,High,Low,Close*,Adj. close**,Volume
26-Jun-2019,134.35,135.74,133.60,133.93,133.03,"2,36,57,700"
25-Jun-2019,137.25,137.59,132.73,133.43,132.54,"3,33,27,400"
24-Jun-2019,137.00,138.40,137.00,137.78,136.86,"2,06,28,800"
21-Jun-2019,136.58,137.73,136.46,136.97,136.05,"3,67,27,900"
20-Jun-2019,137.45,137.66,135.72,136.95,136.03,"3,30,42,600"
19-Jun-2019,135.00,135.93,133.81,135.69,134.78,"2,37,44,400"
18-Jun-2019,134.19,135.24,133.57,135.16,134.25,"2,59,34,500"
17-Jun-2019,132.63,133.73,132.53,132.85,131.96,"1,45,17,800"
14-Jun-2019,132.26,133.79,131.64,132.45,131.56,"1,78,21,700"
13-Jun-2019,131.98,133.00,131.56,132.32,131.43,"1,72,00,800"
12-Jun-2019,131.40,131.97,130.71,131.49,130.61,"1,70,84,700"
11-Jun-2019,133.88,134.24,131.28,132.10,131.22,"2,39,13,700"
10-Jun-2019,132.40,134.08,132.00,132.60,131.71,"2,64,77,100"
07-Jun-2019,129.19,132.25,128.26,131.40,130.52,"3,38,85,600"
06-Jun-2019,126.44,127.97,125.60,127.82,126.96,"2,14,59,000"
05-Jun-2019,124.95,125.87,124.21,125.83,124.99,"2,49,26,100"
04-Jun-2019,121.28,123.28,120.65,123.16,122.33,"2,93,82,600"
03-Jun-2019,123.85,124.37,119.01,119.84,119.04,"3,79,83,600"
31-May-2019,124.23,124.62,123.32,123.68,122.85,"2,66,46,800"
30-May-2019,125.26,125.76,124.78,125.73,124.89,"1,68,29,600"
29-May-2019,125.38,125.39,124.04,124.94,124.10,"2,27,63,100"
28-May-2019,126.98,128.00,126.05,126.16,125.31,"2,31,28,400"
24-May-2019,126.91,127.42,125.97,126.24,125.39,"1,41,23,400"
23-May-2019,126.20,126.29,124.74,126.18,125.33,"2,36,03,800"
22-May-2019,126.62,128.24,126.52,127.67,126.81,"1,53,96,500"
21-May-2019,127.43,127.53,126.58,126.90,126.05,"1,52,93,300"
20-May-2019,126.52,127.59,125.76,126.22,125.37,"2,37,06,900"
17-May-2019,128.31,130.46,127.92,128.07,127.21,"2,57,70,500"
16-May-2019,126.75,129.38,126.46,128.93,128.07,"3,01,12,200"
15-May-2019,124.26,126.71,123.70,126.02,125.18,"2,47,22,700"
14-May-2019,0.46 Dividend,0.46 Dividend,0.46 Dividend,0.46 Dividend,0.46 Dividend,0.46 Dividend
14-May-2019,123.87,125.88,123.70,124.73,123.44,"2,52,66,300"
13-May-2019,124.11,125.55,123.04,123.35,122.07,"3,39,44,900"
10-May-2019,124.91,127.93,123.82,127.13,125.81,"3,09,15,100"
09-May-2019,124.29,125.79,123.57,125.50,124.20,"2,72,35,800"
08-May-2019,125.44,126.37,124.75,125.51,124.21,"2,84,19,000"
07-May-2019,126.46,127.18,124.22,125.52,124.22,"3,60,17,700"
06-May-2019,126.39,128.56,126.11,128.15,126.82,"2,42,39,800"
03-May-2019,127.36,129.43,127.25,128.90,127.56,"2,49,11,100"
02-May-2019,127.98,128.00,125.52,126.21,124.90,"2,73,50,200"
01-May-2019,130.53,130.65,127.70,127.88,126.55,"2,68,21,700"
30-Apr-2019,129.81,130.70,129.39,130.60,129.25,"2,41,66,500"
29-Apr-2019,129.90,130.18,129.35,129.77,128.43,"1,63,24,200"
26-Apr-2019,129.70,130.52,129.02,129.89,128.54,"2,36,54,900"
25-Apr-2019,130.06,131.37,128.83,129.15,127.81,"3,80,33,900"
24-Apr-2019,125.79,125.85,124.52,125.01,123.71,"3,12,57,000"
23-Apr-2019,124.10,125.58,123.83,125.44,124.14,"2,40,25,500"
22-Apr-2019,122.62,124.00,122.57,123.76,122.48,"1,56,48,700"
18-Apr-2019,122.19,123.52,121.30,123.37,122.09,"2,79,91,000"
17-Apr-2019,121.24,121.85,120.54,121.77,120.51,"1,93,00,900"
16-Apr-2019,121.64,121.65,120.10,120.77,119.52,"1,40,71,800"
15-Apr-2019,120.94,121.58,120.57,121.05,119.80,"1,57,92,600"
12-Apr-2019,120.64,120.98,120.37,120.95,119.70,"1,97,45,100"
11-Apr-2019,120.54,120.85,119.92,120.33,119.08,"1,42,09,100"
10-Apr-2019,119.76,120.35,119.54,120.19,118.94,"1,64,77,200"
09-Apr-2019,118.63,119.54,118.58,119.28,118.04,"1,76,12,000"
08-Apr-2019,119.81,120.02,118.64,119.93,118.69,"1,51,16,200"
05-Apr-2019,119.39,120.23,119.37,119.89,118.65,"1,58,26,200"
04-Apr-2019,120.10,120.23,118.38,119.36,118.12,"2,01,12,800"
03-Apr-2019,119.86,120.43,119.15,119.97,118.73,"2,28,60,700"
02-Apr-2019,119.06,119.48,118.52,119.19,117.95,"1,81,42,300"
01-Apr-2019,118.95,119.11,118.10,119.02,117.79,"2,27,89,100"
29-Mar-2019,118.07,118.32,116.96,117.94,116.72,"2,53,99,800"
28-Mar-2019,117.44,117.58,116.13,116.93,115.72,"1,83,34,800"
27-Mar-2019,117.88,118.21,115.52,116.77,115.56,"2,27,33,400"
26-Mar-2019,118.62,118.71,116.85,117.91,116.69,"2,60,97,700"
25-Mar-2019,116.56,118.01,116.32,117.66,116.44,"2,70,67,100"
22-Mar-2019,119.50,119.59,117.04,117.05,115.84,"3,36,24,500"
21-Mar-2019,117.14,120.82,117.09,120.22,118.97,"2,98,54,400"
20-Mar-2019,117.39,118.75,116.71,117.52,116.30,"2,81,13,300"
19-Mar-2019,118.09,118.44,116.99,117.65,116.43,"3,75,88,700"
18-Mar-2019,116.17,117.61,116.05,117.57,116.35,"3,12,07,600"
15-Mar-2019,115.34,117.25,114.59,115.91,114.71,"5,46,81,100"
14-Mar-2019,114.54,115.20,114.33,114.59,113.40,"3,07,63,400"
13-Mar-2019,114.13,115.00,113.78,114.50,113.31,"3,55,13,800"
12-Mar-2019,112.82,113.99,112.65,113.62,112.44,"2,61,32,700"
11-Mar-2019,110.99,112.95,110.98,112.83,111.66,"2,64,91,600"
08-Mar-2019,109.16,110.71,108.80,110.51,109.36,"2,28,18,400"
07-Mar-2019,111.40,111.55,109.87,110.39,109.25,"2,53,39,000"
06-Mar-2019,111.87,112.66,111.43,111.75,110.59,"1,76,87,000"
05-Mar-2019,112.25,112.39,111.23,111.70,110.54,"1,95,38,300"
04-Mar-2019,113.02,113.25,110.80,112.26,111.10,"2,66,08,000"
01-Mar-2019,112.89,113.02,111.67,112.53,111.36,"2,35,01,200"
28-Feb-2019,112.04,112.88,111.73,112.03,110.87,"2,90,83,900"
27-Feb-2019,111.69,112.36,110.88,112.17,111.01,"2,14,87,100"
26-Feb-2019,111.26,113.24,111.17,112.36,111.20,"2,15,36,700"
25-Feb-2019,111.76,112.18,111.26,111.59,110.43,"2,37,50,600"
22-Feb-2019,110.05,111.20,109.82,110.97,109.82,"2,77,63,200"
21-Feb-2019,106.90,109.48,106.87,109.41,108.28,"2,90,63,200"
20-Feb-2019,107.86,107.94,106.29,107.15,106.04,"2,16,07,700"
19-Feb-2019,0.46 Dividend,0.46 Dividend,0.46 Dividend,0.46 Dividend,0.46 Dividend,0.46 Dividend
19-Feb-2019,107.79,108.66,107.78,108.17,106.59,"1,80,38,500"
15-Feb-2019,107.91,108.30,107.36,108.22,106.64,"2,66,06,900"
14-Feb-2019,106.31,107.29,105.66,106.90,105.34,"2,17,84,700"
13-Feb-2019,107.50,107.78,106.71,106.81,105.25,"1,83,94,900"
12-Feb-2019,106.14,107.14,105.48,106.89,105.33,"2,50,56,600"
11-Feb-2019,106.20,106.58,104.97,105.25,103.72,"1,89,14,100"
08-Feb-2019,104.39,105.78,104.26,105.67,104.13,"2,14,61,100"
07-Feb-2019,105.19,105.59,104.29,105.27,103.74,"2,97,60,700"
06-Feb-2019,107.00,107.00,105.53,106.03,104.49,"2,06,09,800"
05-Feb-2019,106.06,107.27,105.96,107.22,105.66,"2,73,25,400"
04-Feb-2019,102.87,105.80,102.77,105.74,104.20,"3,13,15,100"
01-Feb-2019,103.78,104.10,102.35,102.78,101.28,"3,55,35,700"
31-Jan-2019,103.80,105.22,103.18,104.43,102.91,"5,56,36,400"
30-Jan-2019,104.62,106.38,104.33,106.38,104.83,"4,94,71,900"
29-Jan-2019,104.88,104.97,102.17,102.94,101.44,"3,14,90,500"
28-Jan-2019,106.26,106.48,104.66,105.08,103.55,"2,94,76,700"
25-Jan-2019,107.24,107.88,106.20,107.17,105.61,"3,12,25,600"
24-Jan-2019,106.86,107.00,105.34,106.20,104.65,"2,31,64,800"
23-Jan-2019,106.12,107.04,105.34,106.71,105.16,"2,58,74,300"
22-Jan-2019,106.75,107.10,104.86,105.68,104.14,"3,23,71,300"
18-Jan-2019,107.46,107.90,105.91,107.71,106.14,"3,74,27,600"
17-Jan-2019,105.00,106.63,104.76,106.12,104.57,"2,83,93,000"
